8.33333E-05,0,0
83.3333,10,0.000143567
166.667,20,0.000287133
250,30,0.000430698
333.333,40,0.000574262
416.667,50,0.000717825
500,60,0.000861386
583.333,70,0.00100495
666.667,80,0.0011485
750,90,0.00129206
833.333,100,0.00143562
916.667,110,0.00157917
1000,120,0.00172272
1083.33,130,0.00186627
1166.67,140,0.00200981
1250,150,0.00215336
1333.33,160,0.0022969
1416.67,170,0.00244043
1500,180,0.00258397
1583.33,190,0.0027275
1666.67,200,0.00287103
1750,210,0.00301455
1833.33,220,0.00315807
1916.67,230,0.00330159
2000,240,0.0034451
2083.33,250,0.00358861
2166.67,260,0.00373212
2250,270,0.00387563
2333.33,280,0.00401916
2416.67,290,0.00416274
2500,300,0.00430644
2583.33,310,0.00445029
2666.67,320,0.00459429
2750,330,0.00473845
2833.33,340,0.00488283
2916.67,350,0.00502746
3000,360,0.00517228
3083.33,370,0.00531728
3166.67,380,0.00546244
3250,390,0.00560778
3333.33,400,0.00575333
3416.67,410,0.00589907
3500,420,0.006045
3583.33,430,0.00619118
3666.67,440,0.00633764
3750,450,0.00648439
3833.33,460,0.0066314
3916.67,470,0.00677868
4000,480,0.00692618
4083.33,490,0.00707396
4166.67,500,0.00722204
4250,510,0.00737041
4333.33,520,0.00751906
4416.67,530,0.00766802
4500,540,0.00781734
4583.33,550,0.00796705
4666.67,560,0.00811714
4750,570,0.00826765
4833.33,580,0.00841859
4916.67,590,0.00857
5000,600,0.00872197
5083.33,610,0.00887456
5166.67,620,0.00902772
5250,630,0.00918147
5333.33,640,0.00933585
5416.67,650,0.00949085
5500,660,0.00964647
5583.33,670,0.00980277
5666.67,680,0.00995974
5750,690,0.0101174
5833.33,700,0.0102757
5916.67,710,0.0104347
6000,720,0.0105944
6083.33,730,0.0107548
6166.67,740,0.0109161
6250,750,0.0110783
6333.33,760,0.0112415
6416.67,770,0.0114058
6500,780,0.0115712
6583.33,790,0.0117379
6666.67,800,0.0119057
6750,810,0.0120747
6833.33,820,0.0122448
6916.67,830,0.0124161
7000,840,0.0125885
7083.33,850,0.0127621
7166.67,860,0.0129368
7250,870,0.0131126
7333.33,880,0.0132897
7416.67,890,0.013468
7500,900,0.0136475
7583.33,910,0.0138282
7666.67,920,0.0140102
7750,930,0.0141934
7833.33,940,0.014378
7916.67,950,0.0145638
8000,960,0.0147509
8083.33,970,0.0149393
8166.67,980,0.0151293
8250,990,0.0153209
8333.33,1000,0.0155141
