0,0,0
50,6,4.13E-05
100,12,8.27E-05
150,18,0.000124011
200,24,0.000165348
250,30,0.000206686
300,36,0.000248023
350,42,0.00028936
400,48,0.000330697
450,54,0.000372034
500,60,0.000413371
550,66,0.000454708
600,72,0.000496045
650,78,0.000537382
700,84,0.00057872
750,90,0.000620057
800,96,0.000661394
850,102,0.000702731
900,108,0.000744068
950,114,0.000785405
1000,120,0.000826742
1050,126,0.000868079
1100,132,0.000909416
1150,138,0.000950754
1200,144,0.000992091
1250,150,0.00103343
1300,156,0.00107476
1350,162,0.0011161
1400,168,0.00115744
1450,174,0.00119878
1500,180,0.00124011
1550,186,0.00128145
1600,192,0.00132279
1650,198,0.00136412
1700,204,0.00140546
1750,210,0.0014468
1800,216,0.00148814
1850,222,0.00152947
1900,228,0.00157081
1950,234,0.00161215
2000,240,0.00165349
2050,246,0.00169482
2100,252,0.00173616
2150,258,0.0017775
2200,264,0.00181884
2250,270,0.00186018
2300,276,0.00190153
2350,282,0.00194287
2400,288,0.00198422
2450,294,0.00202557
2500,300,0.00206692
2550,306,0.00210828
2600,312,0.00214963
2650,318,0.00219099
2700,324,0.00223236
2750,330,0.00227372
2800,336,0.00231509
2850,342,0.00235646
2900,348,0.00239784
2950,354,0.00243923
3000,360,0.00248062
3050,366,0.00252203
3100,372,0.00256344
3150,378,0.00260486
3200,384,0.00264629
3250,390,0.00268773
3300,396,0.00272919
3350,402,0.00277065
3400,408,0.00281212
3450,414,0.0028536
3500,420,0.0028951
3550,426,0.00293662
3600,432,0.00297816
3650,438,0.00301974
3700,444,0.00306134
3750,450,0.00310298
3800,456,0.00314465
3850,462,0.00318635
3900,468,0.00322808
3950,474,0.00326984
4000,480,0.00331163
4050,486,0.00335346
4100,492,0.00339531
4150,498,0.0034372
4200,504,0.00347912
4250,510,0.00352108
4300,516,0.00356308
4350,522,0.00360511
4400,528,0.00364718
4450,534,0.00368928
4500,540,0.00373143
4550,546,0.00377361
4600,552,0.00381584
4650,558,0.0038581
4700,564,0.00390041
4750,570,0.00394275
4800,576,0.00398513
4850,582,0.00402755
4900,588,0.00407002
4950,594,0.00411253
5000,600,0.00415508
